Datum,Rubrik,Ingress,Bild-URL,Koordinat
1939-08-23,Molotov-Ribbentrop-pakten,"Nazityskland och Sovjetunionen skrev under en icke-angreppspakt. Den innehöll en officiell, offentlig, del och en hemlig. I den offentliga delen kom länderna överens om att inte angripa varandra. I den hemliga delen gjorde länderna upp hur de skulle fördela viktiga delar av Östeuropa som uppdelningen av Polen och Baltikum.",https://museumforintelsen.se/wp-content/uploads/2024/02/molotov-ribbentrop.gif,
1939-09-01,Kriget börjar,"Den 1 september 1939 invaderade Nazityskland Polen. Den tyska säkerhetspolisens och säkerhetstjänstens mobila enheter, så kallade ”Einsatzgruppen”, sköt präster, akademiker och i vissa fall även judar och romer. Den 3 september förklarade England och Frankrike krig mot Tyskland. Andra världskriget började i Europa.",https://museumforintelsen.se/wp-content/uploads/2023/05/138GO2_-1920x1080.webp,
oktober 1939,Aktion T4 inleds,"Nazisterna ansåg att människor med mentala eller fysiska funktionsnedsättningar var en belastning för och ett hot mot samhället och den ""ariska rasen"". Därför startade de ett organiserat mördande av dem under 1939. Nazisterna benämnde detta som eutanasi, ""dödshjälp"". Mördandet skedde till en början genom svält och överdosering av mediciner. Under aktionen transporterades de som skulle mördas från vårdhem i hela Nazityskland till särskilda anläggningar där de gasades ihjäl och sedan kremerades.",https://museumforintelsen.se/wp-content/uploads/2023/11/Erlass_von_Hitler_-_Nurnberger_Dokument_PS-630_-_datiert_1._September_1939-1920x1080.webp,
1939-10-17,Bofasta romer,En offentlig förordning tvingade alla romer och resande i Nazityskland att vara bofasta. Den som bröt mot förbudet blev deporterad till koncentrationsläger.,https://museumforintelsen.se/wp-content/uploads/2023/05/BA-146-1987-115-51-scaled-1-1920x1080.webp,
1939-12-13,Samlings­regeringen,Vid krigsutbrottet i september 1939 styrde Socialdemokraterna och Bondeförbundet den svenska regeringen. I samband med att Sovjet anföll Finland sista november samma år valde Sveriges riksdag och regering att 13 december skapa en samlingsregering med alla demokratiska partier under ledning av statsminister Per Albin Hansson. Samlingsregeringens uttryckliga syfte var att ”sträva efter självständighet och neutralitet”.,https://museumforintelsen.se/wp-content/uploads/2023/05/Samlingsregeringen_1939_NE-1900x1080.webp,
april 1940,Auschwitz I börjar byggas,"Våren 1940 började bygget av koncentrationsläger Auschwitz I (Auschwitz-Stammlager). Auschwitz var det tyska namnet på den polska staden Oświęcim, som hade införlivats med det Nazityska riket efter invasionen av Polen. Auschwitz I inrättades i ett kasernområde som hade tillhört den polska armén och var till en början tänkt för att inhysa den nazityska regimens polska fiender. Kommendant för lägret blev SS-officeren Rudolf Höss. Till en början var lägret tänkt att hålla cirka 10 000 fångar, men tämligen omgående kom order att utöka kapaciteten.",https://museumforintelsen.se/wp-content/uploads/2023/11/ingang-auschwitz-1666x1080.webp,
1940-04-09,Danmark kapitulerar,"Tidigt på morgonen den 9 april 1940 gick tyska trupper in i det neutrala Danmark. Den danska regeringen meddelade efter några timmar att de inte hade för avsikt att förklara krig mot Tyskland. Danmark förblev därför neutralt, men besatt av tysk trupp. Den danska regeringen och regenten kung Kristian X stannade kvar i landet.",https://museumforintelsen.se/wp-content/uploads/2023/05/BA-101I-753-0001N-08-scaled-1-1920x1080.webp,
1940-05-10,Luxemburg kapitulerar,Det neutrala Luxemburg invaderades 10 maj 1940 varpå dess regering och regent flydde till Frankrike och senare Storbritannien. Landet erövrades på en dag.,https://museumforintelsen.se/wp-content/uploads/2023/05/BA-183-L11297-scaled-1-1920x1080.webp,
1940-05-14,Nederländerna kapitulerar,"De neutrala länderna Belgien och Nederländerna attackerades samma dag, 10 maj. De moderna och välutrustade tyska trupperna lyckades erövra Nederländerna på fem dagar. Drottning Wilhelmina lyckades fly till London där hon lät uppföra en exilregering.",https://museumforintelsen.se/wp-content/uploads/2023/05/BA-146-1969-125-75-scaled-1-1920x1080.webp,
1940-05-28,Belgien kapitulerar,"Belgiens erövring tog 18 dagar. Den belgiske kungen Leopold avslutade striderna genom att begära vapenstillestånd. Den belgiska regeringen, som inte ville ge upp, valde att fly till Storbritannien.",https://museumforintelsen.se/wp-content/uploads/2023/05/Belgien_AB-40-05-28-scaled-1-1920x1080.webp,
1940-06-25,Frankrike kapitulerar,"De tyska trupperna avancerade snabbt genom Belgien och Nederländerna in i Frankrike. Drygt en månad efter anfallet kapitulerade den franska militären. Efter invasionen ockuperades norra delen av landet. Södra delen blev självständigt och styrdes av den så kallade Vichyregeringen, som till viss del blev en lydstat till Nazityskland. Utan Vichyregimens hjälp hade det varit mycket svårare för Nazityskland att genomföra den ”slutliga lösningen” i Frankrike.",https://museumforintelsen.se/wp-content/uploads/2023/05/BA-183-L05325-scaled-1-1920x1080.webp,
 Hösten1940,Getton,"Efter ockupationen av Polen började nazisterna skapa getton för judar i de polska städerna. De tvingade judar att bo i en liten del av staden som de inte fick lämna utan tillstånd. I vissa fall omslöts gettona av höga murar och taggtråd. Hösten 1940 offentliggjordes att ett getto skulle skapas i Warszawa.  I några getton, till exempel i Łódź, fanns även grupper av romer.",https://museumforintelsen.se/wp-content/uploads/2023/05/27AO6_-1920x1080.webp,
1941-02-01,Norge kapitulerar,"Norge invaderades 9 april 1940, men fick hjälp av brittiska och franska trupper som anlände via Nordsjön. Erövringen av Norge tog flera månader och den norska regeringen och kungafamiljen lyckades fly till Storbritannien. Den tyska ockupationsmakten styrde sedan landet med norska överlöpare under ledning av Vidkun Quisling från och med 1 februari 1942.",https://museumforintelsen.se/wp-content/uploads/2023/05/BA-183-L03683-scaled-1-1920x1080.webp,
1941-06-22,Operation Barbarossa,Den 22 juni anföll Nazityskland Sovjetunionen under kodnamnet Operation Barbarossa. Nazitysklands mål var att utvidga Tysklands ”livsrum” (Lebensraum) i öster och att krossa kommunismen i ett ”förintelsekrig”. I skydd av de framryckande nazityska arméerna opererade specialförband (Einsatzgruppen) tillsammans med polis- och Waffen-SS-enheter som snart började genomföra masskjutningar av judar och senare även romer. Masskjutningarna blev början på ett organiserat massmördande.,https://museumforintelsen.se/wp-content/uploads/2023/05/BA-101I-136-0882-13-scaled-1-1920x1080.webp,
Sommaren 1941,Massakern i Prypjat-träsken,"Sommaren 1941 mördade SS och tyska armén 20 000 judiska män, kvinnor och barn vid träsken i Prypjat i södra Belarus. Ordern kom från SS högste ledare Heinrich Himmler: män över 14 år skulle skjutas, kvinnor och barn skulle drivas ut i träsken för att drunkna där.",,
augusti1941,Aktion T4 avslutas,I augusti 1941 beslutade Adolf Hitler att Aktion T4 skulle avslutas. Då hade ungefär 5 000 barn och 70 000 vuxna mördats av vårdpersonal och andra inom loppet av knappt två år. Aktionen väckte kritik och protester från bland annat kyrkosamfunden i Nazityskland. Aktionen avslutades officiellt men i verkligheten fortsatte mördandet. Under nazitiden mördades ca. 250 000 människor som hade olika funktionsnedsättningar eller klassades som ”asociala”.,https://museumforintelsen.se/wp-content/uploads/2023/07/BA-152-04-12-1920x1080.webp,
1941-08-27,Massakern vid Kamjanets-Podilskyj,"Invid den ukrainska staden Kamjanets-Podilskyj genomförde nazistiska trupper en massaker på judiska män, kvinnor och barn. Totalt mördades cirka 23 600 människor.",,
 Hösten1941,Operation Reinhard,"Under hösten påbörjades Operation Reinhard som var kodnamnet för planen att utrota alla judar i det så kallade Generalguvernementet. Det var ett område i det tyskockuperade Polen där ca. 2 miljoner judar bodde. Nazisterna byggde tre förintelseläger: Bełżec, Sobibór och Treblinka som började användas under 1942. Metoden som användes i dödslägren var samma metod som hade utvecklats under Aktion T4. Samtidigt som människor gasades ihjäl i förintelseläger genomfördes också masskjutningar. Totalt mördades ca. 1,7 miljoner judar under Operation Reinhard.",https://museumforintelsen.se/wp-content/uploads/2023/11/treblinka-skylt-foto-David-Shankbone-1920x1080.webp,
september 1941,Deportation av Nazitysklands judar,"Beslutet att börja deportera judarna i Nazityskland österut fattades i september. I oktober började tyska, österrikiska och tjeckiska judar att deporteras främst till olika getton i öst.",https://museumforintelsen.se/wp-content/uploads/2023/05/BA-137-056925-scaled-1-1920x1080.webp,
1941-09-01,Den gula stjärnan,"Den 1 september 1941 kom ett påbud att alla judar i Nazityskland, äldre än sex år, att ”synligt, ordentligt fastsydd, på vänstra bröstet av plagget” bära en svart Davidsstjärna mot gul bakgrund. I stjärnans mitt skulle det stå ordet ”Jude”. Genom att utmärka den judiska befolkningen med en Davidsstjärna ville nazisterna dels skapa en tydlig skillnad mellan befolkningsgrupperna, dels förenkla urvalet och arresteringarna av judar.",https://museumforintelsen.se/wp-content/uploads/2023/05/BA-116-484-086-scaled-1-1920x1080.webp,
1941-09-29,Massakern vid Babyn Jar,I ravinen Babyn Jar i närheten av Kyiv i Ukraina mördade nazistiska trupper ett stort antal judar. Under loppet av två dygn i slutet av september sköts 33 771 människor.,,
oktober1941,Auschwitz II börjar byggas,"I oktober 1941 utökades Auschwitz med ett nytt större lägerområde under namnet Auschwitz II eller Birkenau. Auschwitz II var från början avsett att kunna hålla cirka 100 000 sovjetiska krigsfångar, men utvecklades under 1943 till att bli det största förintelselägret med fyra stora krematorier med gaskammare. Sammanlagt kom cirka 1,1 miljoner människor att mördas i lägret. Nästan 1 miljon av de mördade var judar. Övriga offergrupper var bland annat icke-judiska polacker, romer och sovjetiska krigsfångar.",https://museumforintelsen.se/wp-content/uploads/2023/09/BA-285-Bild-04413-1920x1080.webp,
1941-11-30,Massakern vid Rumbula,"Vid två tillfällen, 30 november och 8 december 1941, genomförde nazistiska trupper massmord vid Rumbula utanför Riga i Lettland. Ungefär 25 000 judar dödades.",,
1941-12-07,Världskrig,Den 7 december 1941 blev det europeiska kriget ett fullskaligt världskrig då japanska flygplan anföll USA:s flottbas Pearl Harbor på Hawaii. Den 8 december förklarade USA krig mot Japan. Den 11 december förklarade Tyskland och Italien krig mot USA. De olika krigshärdarna hade därmed spridit sig till alla kontinenter.,https://museumforintelsen.se/wp-content/uploads/2023/05/Pearl_Harbor-DN-41-12-08-scaled-1-1920x1080.webp,
1941-12-08,De första judarna gasas ihjäl i Chełmno,"Chełmno var det första förintelselägret som inrättades. I Chełmno användes gasvagnar och från den 8 december mördades minst 172 000 människor här. Den stora majoriteten var judar, men även romer mördades i Chełmno.",https://museumforintelsen.se/wp-content/uploads/2023/11/gasvagn-1600x1080.webp,
1942-01-20,Wannsee­konferensen,"Den 20 januari hölls en konferens i Wannsee i Berlin. Deltagarna var inbjudna av SS-generalen Reinhard Heydrich, chefen för RSHA (Rikssäkerhetsöverstyrelsen). Där diskuterade de hur ”den slutgiltiga lösningen av judefrågan” skulle samordnas under RSHA:s ledning, vars planering hade påbörjats under 1941.",https://museumforintelsen.se/wp-content/uploads/2023/05/BA-152-50-10-scaled-1-1920x1080.webp,
1942-10-23,Slaget vid El Alamein,I november hejdade brittiska trupper de tyska trupperna i Afrika i slaget vid El Alamein i Egypten. Det var en av de första stora militära motgångarna för Tyskland.,https://museumforintelsen.se/wp-content/uploads/2023/05/El_Alamein_1942_-_British_infantry-1784x1080.webp,
1942-11-26,Norska judar deporteras,"Den 26 november deporterades 529 norska judar till Auschwitz-Birkenau. Totalt deporterades 776 norska judar vintern 1942-1943. Bara ett fåtal av dem överlevde. Händelsen väckte starka reaktioner i Sverige som nu var beredda att ta emot de kvarvarande norska judarna. Innan kriget hade Norge en judisk befolkning på cirka 2000 personer, ungefär hälften av dem lyckades fly till Sverige.",https://museumforintelsen.se/wp-content/uploads/2022/11/deportation26nov1942_norge_Foto-Georg-W-Fossum-CC-BY-SA-1920x1080.webp,
1942-12-16,Deportation av och mord på romer,"I december skickade SS-chefen Heinrich Himmler ut ett dekret rörande alla ""zigenarblandningar, romska zigenare och icke tysk-blodiga medlemmar av zigenska klaner med ursprung på Balkan "". De skulle snarast deporteras till koncentrationslägret Auschwitz.Forskare har uppskattat att nazisterna och deras allierade mördade mellan 250 000 och 500 000 romer. De flesta genom masskjutningar. Det exakta antalet offer vet vi inte. Nazisterna dokumenterade inte hur många romer de mördade.",https://museumforintelsen.se/wp-content/uploads/2023/05/BA-R-165-Bild-244-47-scaled-1-1920x1080.webp,
1942-12-18,Internationell protest,Rykten om nazisternas massmord hade kommit redan 1941. Under sommaren 1942 avslöjade den judiska socialistiska organisationen Bund mer detaljerade uppgifter om att nazisterna använde gas för att döda judar. Likartad information kom även från den judiska världskongressens representant Gerhard Riegner på sensommaren 1942. Efter Bund-rapporten och Riegner-rapporten gick den engelska regeringen i november 1942 ut och fördömde massmorden offentligt. För allmänheten blev massmorden kända genom radioreportage och tidningsartiklar under hösten 1942.,https://museumforintelsen.se/wp-content/uploads/2023/05/BA-B-162-Bild-07254-scaled-1-1920x1080.webp,
1943-01-31,Stalingrad,"Den 2 februari 1943 var en betydande vändpunkt i kriget då de tyska stridskrafterna och deras bundsförvanter kapitulerade i Stalingrad. Drygt en miljon tyska, italienska, rumänska och ungerska soldater hade då dött, sårats eller blivit tillfångatagna under slaget om Stalingrad, och de sovjetiska förlusterna (soldater och civila) var ännu högre. Det tyska nederlaget var även av stor psykologisk betydelse.",https://museumforintelsen.se/wp-content/uploads/2023/05/BA-116-168-618-scaled-1-1920x1080.webp,
1943-07-10,Invasionen av Sicilien,De Allierade hade övertaget i Nordafrika och kunde därför göra en stor landsättning på Sicilien under sommaren 1943. När ön var erövrad kunde de Allierade fortsätta över till italienska fastlandet.,https://museumforintelsen.se/wp-content/uploads/2023/05/Sicilien_SC180476_NA-scaled-1-1920x1080.webp,
1943-07-25,Italien kapitulerar,"Inför de Allierade truppernas överlägsenhet och de italienska motgångarna under året beslöt Italiens kung Victor Emanuel III att avsätta diktatorn Mussolini den 25 juli, vilket avslutade alliansen med Tyskland. Det innebar att Adolf Hitler lät ockupera Italien, vilket i sin tur gjorde att Tyskland kämpade på två fronter med ett för litet antal soldater.",https://museumforintelsen.se/wp-content/uploads/2023/05/BA-101I-311-0940-35-scaled-1-1920x1080.webp,
1943-10-01,De danska judarna räddas,"När Nazityskland i augusti 1943 tog över styret i Danmark utgick en order om att deportera alla judar vid månadsskiftet september/oktober. Tack vare att den tyske diplomaten Georg Ferdinand Duckwitz läckte uppgifterna, hann de danska judarna organisera sin flykt över till Sverige som meddelat att alla danska judar var välkomna. Cirka 7200 danska judar och deras icke-judiska familjemedlemmar tog sig över sundet. Men alla lyckades inte fly i tid, fler än 450 judar deporterades till Theresienstadt.",https://museumforintelsen.se/wp-content/uploads/2023/05/Danska-judarna-DN-43-10-04-1539x1080.webp,
1943-11-03,"Aktion ""Skördefesten""","Efter att judiska fångar gjort uppror mot nazisterna i förintelselägren Sobibór och Treblinka, likviderades lägren under hösten 1943. Som svar på upproren genomfördes masskjutningar av de kvarvarande judarna i Generalguvernementet. Cirka 42 000 judar sköts ihjäl under ett par dagar. Massakern gick under kodnamnet ""Skördefesten"" och var avslutningen på Operation Reinhard.",,
Våren 1944,Deportation av Ungerns judar,"I mars 1944 invaderade Nazityskland Ungern, sin tidigare bundsförvant. Nazisterna och den ungerska polisen deporterade därefter 440 000 judar från den ungerska landsorten till förintelselägret Auschwitz-Birkenau och till arbetsläger i Österrike. Genom insatser från American War Refugee Board, den svenska legationen i Budapest och diplomater från Vatikanen och flera andra länder räddades minst 10 000 ungerska judar.",https://museumforintelsen.se/wp-content/uploads/2023/05/BA-183-N0827-318-1920x1080.webp,
1944-06-06,Dagen D,"Den 6 juni – dagen D – lyckades amerikanska, brittiska och kanadensiska trupper invadera Normandie i norra Frankrike. Mot slutet av sommaren hade nästan hela Frankrike befriats. I september hade gränsen till Tyskland korsats en gång av USA-styrkor och hela Tyskland blev utsatt för upprepade bombningar såväl nattetid som dagtid.",https://museumforintelsen.se/wp-content/uploads/2023/05/D_Day_111-ADC-1319-jpg.webp,
1944-07-20,Attentat mot Hitler,De svåra motgångarna för Tyskland i kriget gjorde att ett stort antal tyska officerare och inflytelserika personer försökte mörda Adolf Hitler. Attentatet den 20 juli 1944 var det mest välorganiserade och allvarliga Hitler råkade ut för. De sammansvurna blev arresterade och avrättade.,https://museumforintelsen.se/wp-content/uploads/2023/05/BA-146-1970-097-76-scaled-1-1920x1080.webp,
1944-07-23,Majdanek befrias,"Majdanek var ett kombinerat arbets-, koncentrations- och förintelseläger intill Lublin i Polen. Ungefär 80 000 människor mördades i Majdanek, av vilka ca 60 000 var judar. Den sovjetiska armén befriade lägret 23–24 juli 1944. Innan dess hade nazisterna flyttat många fångar till andra läger och till tvångsarbete i den tyska krigsindustrin, men de hann inte förstöra krematorieugnarna och gaskamrarna.",https://museumforintelsen.se/wp-content/uploads/2023/09/df_pk_0000125_003-1920x1080.webp,
1945-01-27,Auschwitz-Birkenau befrias,"Auschwitz var ett helt system av olika läger. Auschwitz-Birkenau byggdes upp under hösten 1941. Auschwitz-Birkenau var ett kombinerat koncentrations-, arbets- och förintelseläger. I lägret mördades ungefär 1,1 miljon fångar. Av de mördade var cirka: 1 miljon judar, 75 000 polacker, 20 000 romer, 15 000 sovjetiska krigsfångar och 10 000 av andra nationaliteter.  Auschwitz befriades av den sovjetiska armén 27 januari 1945.",https://museumforintelsen.se/wp-content/uploads/2023/09/BA-285-Bild-04413-1920x1080.webp,
1945-02-16,Förstör bevisen,En rundskrivelse till alla berörda tyska myndigheter beordrade alla tjänstemän att förinta samtliga handlingar som rörde utrotningen av det judiska folket. Alla bevis skulle förstöras.,https://museumforintelsen.se/wp-content/uploads/2023/05/BA-183-R69919-1920x1080.webp,
Våren 1945,Räddnings­aktioner,"Under våren och sommaren 1945 genomfördes flera räddningsaktioner från svenskt håll för att hjälpa före detta koncentrationslägerfångar. Den första stora aktionen var med de Vita bussarna och Röda Korset. Uppdraget var att främst rädda skandinaviska fångar, men även judiska och politiska fångar från andra länder följde med transporterna till Sverige. Siffrorna varierar men Röda Korset räknar med att cirka 15 000 människor kom till Sverige med Vita bussarna.Under sommaren kom ytterligare cirka 9 000 före detta fångar genom UNRRA (föregångare till FN:s flyktingorgan UNHCR) med de Vita båtarna till Sverige. Majoriteten av dessa var judar. Efter vård och rehabilitering i Sverige var tanken att de skulle återvända till sina hemländer. Men ganska snart ändrade sig svenska myndigheter och lät de som ville stanna. Den judiska befolkning i Sverige kom att fördubblas efter kriget.",https://museumforintelsen.se/wp-content/uploads/2023/09/NMA.0035384-e1694173280817-1200x1080.webp,
1945-05-08,Tyskland kapitulerar,"1945 var andra världskrigets sista år. Sovjetiska och västallierade trupper trängde allt längre in i Tyskland. Den 30 april begick Hitler självmord i sin bunker i Berlin, kort innan sovjetiska trupper nådde fram till den. En dryg vecka senare, den 8 maj, kapitulerade Tyskland villkorslöst. Flera nazistiska ledare begick självmord hellre än att bli ställda till svars för sina gärningar, däribland SS högste ledare Heinrich Himmler.",https://museumforintelsen.se/wp-content/uploads/2023/05/BA-183-R77793-scaled-1-1920x1080.webp,
1945-08-14,Japan kapitulerar,Kriget mellan USA och Japan fortgick fram till att USA detonerade två atombomber över Japan. Den första sprängdes 6 augusti över Hiroshima. Tre dagar senare släpptes den andra atombomben över Nagasaki. Fem dagar efteråt kapitulerade Japan.,https://museumforintelsen.se/wp-content/uploads/2023/05/Japan_kapitulerar-scaled-1-1920x1080.webp,
1945-10-24,Förenta Nationerna,"I slutfasen av andra världskriget beslöt 51 stater att bilda Förenta Nationerna (FN) för att främja internationellt samarbete, mänskliga rättigheter och rättsstatsprincipen.",https://museumforintelsen.se/wp-content/uploads/2023/05/Affisch_FN-scaled-1-1920x1080.webp,
1945-11-20,Nürnberg­rättegång­arna,"De Allierade hade i krigets slutskede kommit överens om att ställa de ledande nazisterna inför rätta. De första rättegångarna hölls redan under kriget, men den största rättegången skedde i Nürnberg 1945–1946. Den ”internationella militärtribunalen mot de främsta krigsförbrytarna” utfärdade tolv dödsdomar, sju fängelsedomar och tre frikännanden.",https://museumforintelsen.se/wp-content/uploads/2023/05/BA-183-V01032-3-scaled-1-e1694159071862-1920x1080.webp,
1946-06-04,Pogromen i Kielce,"Pogromer inträffade i flera delar av Östeuropa i efterdyningarna av andra världskriget. Den mest förödande av dessa pogromer ägde rum 4 juli 1946 i Kielce, Polen, där 42 judar dödades och hundratals skadades.",https://museumforintelsen.se/wp-content/uploads/2023/05/Kielce_1946-scaled-1-1920x1080.webp,
